P02992	TUF1
P40566	EGH1
P42835	EGT2
P14741	GCN3
P32502	GCD7
P12754	GCD2
P32501	GCD6
P09032	GCD1
P38249	RPG1
P06103	PRT1
P32497	NIP1
Q04067	TIF35
P40217	TIF34
Q05775	HCR1
Q05050	EIS1
Q03764	EKI1
P36053	ELF1
Q12050	ELG1
P32801	ELM1
P39540	ELO1
P25358	ELO2
P40319	ELO3
P53861	ELA1
Q03071	ELC1
Q06706	IKI3
P42935	ELP2
Q02908	ELP3
Q02884	ELP4
P38874	IKI1
Q04868	ELP6
Q12025	EMC10
P25574	EMC1
P47133	EMC2
P36039	EMC3
P53073	EMC4
P40540	EMC5
Q12431	EMC6
Q04406	EMI1
Q04409	EMI2
P32803	EMP24
Q12396	EMP46
P43555	EMP47
P42842	EMW1
Q08299	ENB1
P39013	END3
P53753	DSE4
Q12168	ACF2
P00924	ENO1
P00925	ENO2
P32626	UTR4
P38333	ENP1
Q12518	ENT1
Q05785	ENT2
P47160	ENT3
Q07872	ENT4
Q03769	ENT5
Q99382	ENV10
P53246	ENV11
Q12003	ENV7
Q08651	ENV9
P53938	EOS1
P43572	EPL1
P40557	EPS1
P22140	EPT1
Q04660	ERB1
P38767	ERC1
P16151	ERD1
P18414	ERD2
P12385	SUP45
P05453	SUP35
Q06551	ERF2
P41912	SHR5
P32476	ERG1
P32462	ERG24
P53199	ERG26
Q12452	ERG27
P40030	ERG28
P40207	ERG29
P32352	ERG2
P32353	ERG3
P25340	ERG4
P54781	ERG5
P25087	ERG6
P38604	ERG7
P24521	ERG8
P62651	ERI1
P43613	ERJ5
Q03103	ERO1
Q05359	ERP1
P39704	ERP2
Q12403	ERP3
Q12450	ERP4
P38819	ERP5
P53198	ERP6
P0CX10	ERR1
P0CX11	ERR2
P42222	ERR3
P17261	ERS1
P38140	ERT1
P53173	ERV14
P38312	ERV15
P27882	ERV1
P53337	ERV29
Q12284	ERV2
Q04651	ERV41
P39727	ERV46
Q08649	ESA1
P53918	ESBP6
Q03661	ESC1
Q06340	ESC2
Q08119	ESC8
Q06344	ESF1
P53743	ESF2
P40456	ESL1
P36168	ESL2
Q03018	ESP1
P22696	ESS1
P17214	EST1
Q03096	EST3
Q12480	AIM45
P42940	CIR1
Q08822	CIR2
P38748	ETP1
P38071	ETR1
Q08421	ETT1
Q04461	EUC1
P32474	EUG1
P23776	EXG1
P52911	EXG2
P39875	EXO1
P38289	EXO5
P19658	EXO70
P38261	EXO84
Q07541	EXP1
P09201	FBP1
P32604	FBP26
P34756	FAB1
Q12283	MCT1
P35731	OAR1
P38913	FAD1
P32771	SFA1
P40546	FAF1
Q12099	FAL1
P53971	FAP1
Q06001	FAR10
P53917	FAR11
P21268	FAR1
P46671	FAR3
P43592	FAR7
Q05040	FAR8
P07149	FAS1
P19097	FAS2
P38225	FAT1
P38137	PCS60
P15646	NOP1
Q05498	FCF1
Q12035	FCF2
Q03254	FCP1
Q12178	FCY1
P40039	FCY21
Q12119	FCY22
P17064	FCY2
Q03034	FDC1
P29704	ERG9
Q08911	FDH1
P0CF35	FDH2
P40214	FDO1
P26793	RAD27
P25621	FEN2
P38260	FES1
P38993	FET3
P40988	FET4
P43561	FET5
Q08913	FEX1
Q08991	FEX2
P39521	FHL1
P53279	FHN1
P39676	YHB1
P38224	FIG1
P25653	FIG2
P42837	FIG4
P32599	SAC6
Q03898	FIN1
P45976	FIP1
P40020	FIR1
P40515	FIS1
Q04433	FIT1
Q08906	FIT2
Q08907	FIT3
P32472	FPR2
P38911	FPR3
Q06205	FPR4
P20081	FPR1
P40466	FKH1
P41813	FKH2
P38631	FKS1
P40989	GSC2
Q04952	FKS3
Q08967	FLC1
P39719	FLC2
P53121	FLC3
P36170	FLO10
P08640	FLO11
P32768	FLO1
P38894	FLO5
P40068	FLO8
P39712	FLO9
P03870	FLP1
P38124	FLR1
P40464	FLX1
P40491	FMC1
P38866	FMO1
P40098	FMP10
Q12497	FMP16
P38231	FMP23
Q08023	FMP25
Q06179	FMP27
Q02883	FMP30
P43557	FMP32
P46998	FMP33
P53889	FMP41
Q04991	FMP42
Q07651	FMP45
P36141	FMP46
P53233	FMP48
A0A023PZB3	FMP49
P40008	FMP52
P50264	FMS1
P32785	FMT1
P29703	RAM2
P22007	RAM1
O13329	FOB1
P53848	FOL1
P36001	RMA1
Q12676	FOL3
Q08645	MET7
Q02207	FOX2
P53739	FPK1
P08524	ERG20
P23900	FPS1
Q07825	FRA1
Q07540	YFH1
P32614	FRD1
P32791	FRE1
P36033	FRE2
Q08905	FRE3
P53746	FRE4
Q08908	FRE5
Q12473	FRE6
Q12333	FRE7
Q12209	FRE8
Q03002	FRK1
P37261	FRM2
Q12029	FSF1
P38777	FSH1
Q05015	FSH2
Q99369	FSH3
P38310	FTH1
P40099	FAU1
P40088	FTR1
P25659	FUB1
P38196	FUI1
P08417	FUM1
P18411	FUN14
P28003	FUN19
P31381	FUN26
P31380	FUN30
P05316	FUR4
P11710	FUS1
Q05670	FUS2
P16892	FUS3
P40492	FYV10
Q08559	FYV12
Q99341	FYV1
P38783	FYV4
P25585	FYV5
P53913	FYV6
Q12247	FYV7
P46949	FYV8
P32805	FZF1
P38297	FZO1
P00360	TDH1
P00358	TDH2
P00359	TDH3
P11412	ZWF1
P12709	PGI1
P39012	GAA1
P17649	UGA1
P28006	GAC1
P04397	GAL10
P04385	GAL1
P13181	GAL2
P13045	GAL3
P04386	GAL4
P08431	GAL7
P04387	GAL80
Q04739	GAL83
P19145	GAP1
P28007	GAR1
P22146	GAS1
Q06135	GAS2
Q03655	GAS3
Q08271	GAS4
Q08193	GAS5
P43574	GAT1
P40209	GAT2
Q07928	GAT3
P40569	GAT4
Q03557	HER2
P33893	PET112
P53260	GTF1
P18851	STE4
P18852	STE18
P38011	ASC1
P25555	GBP2
P51601	FOL2
P33892	GCN1
P43535	GCN20
P15442	GCN2
P03069	GCN4
Q03330	GCN5
P07261	GCR1
Q01722	GCR2
P35197	GCS1
P39726	GCV3
P49095	GCV2
P48015	GCV1
P14065	GCY1
P32621	GDA1
Q02979	GDE1
Q06625	GDB1
P39958	GDI1
Q12434	RDI1
P41913	GDS1
P38301	GDT1
P47102	GEA1
P39993	GEA2
P37020	GEF1
P39722	GEM1
Q08622	GEP3
P38812	GEP4
Q12393	GEP5
P53171	GEP7
P53192	GET1
P40056	GET2
